source_wallet,txn_count,No_Days_Active,initial_funding,Last_txn_out,current_balance,first_transaction_date,last_trasaction_date
0xf061b135d98f4324dcc2c9fd0ab2c8fc64d09855,1,1,1.04,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.1373744548041868,2022-12-29 00:00:00,2022-12-29 00:00:00
0xb9772456644e378e4556e7f5779270655e88b339,1,1,53.0,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,5.825987268353592,2022-12-21 00:00:00,2022-12-21 00:00:00
0xcc6afdfdf1163995c78fc8afc1649fdb0c43898b,3,1,87.18526005,0xf30e35e4b764d3ce11e25365ce17c0c483a45914,0.1000808639304998,2022-12-20 00:00:00,2022-12-20 00:00:00
0x4a4f7bfdacf096114706cff1dcccdfa416e33290,2,2,6.0,0xd8c967ddab8765295d97de4f65a745cd3f2543e9,0.0235697237970783,2022-12-29 00:00:00,2023-01-22 00:00:00
0x2c3f61b6ceacd3bf90be50b45655572784bf574b,2,1,23.017929,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,2.889232197256166,2023-01-01 00:00:00,2023-01-01 00:00:00
0x2bb84dc376bbcb1de75bd2310bb473206e9fc8fd,2,1,47.0563559,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,22.05023808783733,2022-12-20 00:00:00,2022-12-20 00:00:00
0x75e483cca6dfe6f565f8fa3c906d5629d020da7e,18,7,2.88488824,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,14.91433881768122,2022-02-03 00:00:00,2022-12-30 00:00:00
0xe977f38c5cbfbc3c0e89f3bf2a68336c9d9613fb,3,1,2.0,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,1.6937885531454784,2022-12-20 00:00:00,2022-12-20 00:00:00
0xefdb1874fc6c98f27122f1416b0670b640223bad,1,1,18.0,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.1141600448415563,2023-01-01 00:00:00,2023-01-01 00:00:00
0xc7c2a71fb5460a31b0a1449824f4366f3a030fb8,1,1,16.0,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,2.4619809027481376,2022-12-26 00:00:00,2022-12-26 00:00:00
0x51a17188a744dd773740be3ed30ae1da37ec1003,2,1,20.9,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.8937672464500462,2022-12-24 00:00:00,2022-12-24 00:00:00
0xc578c80cdafc2f2bc628e77a97005d34b99a1ccf,1,1,10.0,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.7219250487131998,2022-12-19 00:00:00,2022-12-19 00:00:00
0xb237d98eb743d106c2f3124e6e29df4beb42dce8,3,1,10.017004,0x521a7c403ca79b5731ef7553f958a3d38eaff97c,0.000468207790386,2022-12-31 00:00:00,2022-12-31 00:00:00
0x31523949326d64b3cf7c145771f29838c57999df,1,1,9.0,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.5224440159712846,2023-01-01 00:00:00,2023-01-01 00:00:00
